id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename,classification,direction,xml_earliest,xml_latest,date_structure,exact_order_needs_review,xml_path,xml_sha256
DCP-LETT-543,Darwin,C. R.,Henslow,J. S.,1839-11-10,[10 Nov 1839],"London, Upper Gower St, 12",,"The Morgan Library and Museum, New York (Heineman Collection MA 7127)",,,DCP-LETT-543.xml,safe_within_period,from_darwin,1839-11-10,1839-11-10,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-543.xml,6fcbc770df5a24ac3334cc2d49ccaa13d12fe9c9a0568ec815130fba2225cdd2
DCP-LETT-546,Darwin,C. R.,Miller,W. H.,1839-11-22,22 [Nov 1839],"London, Upper Gower St, 12",,American Philosophical Society (Mss.B.D25.),,,DCP-LETT-546.xml,safe_within_period,from_darwin,1839-11-22,1839-11-22,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-546.xml,9e0d21c9bcb73ed8e7efd11ef6d277ba2a8b9095daa8018aaeb16ef81417d0c4
DCP-LETT-546A,Darwin,C. R.,Spearman,A. Y.,1839-11-27,27 Nov 1839,"London, Upper Gower St, 12",,The National Archives (TNA) (T1/4524 paper 25824),,,DCP-LETT-546A.xml,safe_within_period,from_darwin,1839-11-27,1839-11-27,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-546A.xml,63ab3b5f34e2bb4ee179e5888a2dbaeb2d9ea290dd996f89377039ddd9d7ae5a
DCP-LETT-547,Darwin,C. R.,Eyton,T. C.,1839-11-30,[30 Nov 1839],"London, Upper Gower St, 12",,American Philosophical Society (Mss.B.D25.17),,,DCP-LETT-547.xml,safe_within_period,from_darwin,1839-11-30,1839-11-30,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-547.xml,30e2f4a050d03aa5cd7cf445372f70c4d7275d2ae9a64e0fb5afb582436eaa17
DCP-LETT-548,Malcolmson,J. G.,Darwin,C. R.,1839-11-30,30 Nov 1839,Forres,,DAR 39: 15–17,,,DCP-LETT-548.xml,safe_within_period,to_darwin,1839-11-30,1839-11-30,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-548.xml,4b76f3adece13b02a10e282895cd32aebce44890972943b6dbc0e66f137e21c8
DCP-LETT-13803,Edwards,[–],Darwin,C. R.,1839-12-31,[before end of 1839?],unstated,,DAR 163: 4,,,DCP-LETT-13803.xml,safe_within_period,to_darwin,1839-01-01,1839-12-30,bounded_range,True,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-13803.xml,57c2d0756b8909ae443bae82114c663c33943623d72d9425bbfb725fb9ee71e9
DCP-LETT-13770H,Darwin,C. R.,Leighton,W. A.,1840-01-01,[1840–77?],,,Estate of the late Mr D. Evans (private collection),,,DCP-LETT-13770H.xml,ambiguous_period,from_darwin,1840-01-01,1877-12-31,bounded_range,True,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-13770H.xml,588e0cc0db7ca5eb0321ab8e9e19b4505d7853e14f7f15d8077ad4cc4d991c10
DCP-LETT-548A,Darwin,C. R.,Walton,William,1840-01-01,[1840–2],,,"Walton 1844, pp. 43–4; Walton, William 1844: 43–4",,,DCP-LETT-548A.xml,safe_within_period,from_darwin,1840-01-01,1842-12-31,bounded_range,True,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-548A.xml,ec0383212409844eb99b894ae0823ab6fbb440752153574609730661b98814bc
DCP-LETT-548B,Darwin,C. R.,Walton,William,1840-01-01,[1840–2],,,"Walton 1844, pp. 50–1; Walton, William 1844: 50–1",,,DCP-LETT-548B.xml,safe_within_period,from_darwin,1840-01-01,1842-12-31,bounded_range,True,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-548B.xml,3a3c0bc2a864b657f45f3787f7de66aea25673187170a9d2384b4163ee4ea201
DCP-LETT-548C,Darwin,C. R.,Gray,J. E.,1840-01-01,1 Jan [1840],"London, Upper Gower St, 12",,"Natural History Museum, Library and Archives (General Library, J. E. Gray Miscellaneous papers vol. 1: f.118)",,,DCP-LETT-548C.xml,safe_within_period,from_darwin,1840-01-01,1840-01-01,single_xml_day,False,data/raw/epsilon/ab0d973bae05b54d68d82d068211015996cfec06/expansions/1837-1843/letters/DCP-LETT-548C.xml,7bec5c91e2930f1e591c3657205410bf17bd829f74600e80b70fd062784d804c
